userid,std dev diff,expectations,first_forecast_date,total_predictions,std_dev_sequence
70110351,"[53.0, 0.0, -53.0, -2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[12.0, 25.0, 25.0, 12.0, 6.0, 6.0, 10.0, 10.0, 6.0, 6.0, 10.0, 10.0]",2019-09-01,12,"[3.0, 56.0, 56.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
70110354,"[0.0, 2.0, -1.0, -1.0, 1.0, -1.0, 0.0, 1.0, 0.0, 0.0, -1.0, 0.0]","[2.0, 3.0, 3.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.0, 2.0, 1.0]",2019-10-01,13,"[1.0, 1.0, 3.0, 2.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0]"
70110358,"[-1.0, 0.0, 0.0, 1.0, 8.0, -7.0, -1.0, -1.0, 1.0, 2.0, -2.0, 1.0]","[2.0, 2.0, 3.0, 3.0, 6.0, 9.0, 4.0, 5.0, 4.0, 5.0, 7.0, 7.0, 6.0]",2019-10-01,13,"[2.0, 1.0, 1.0, 1.0, 2.0, 10.0, 3.0, 2.0, 1.0, 2.0, 4.0, 2.0, 3.0]"
70110359,"[3.0, -1.0, -1.0, 0.0, 2.0, 16.0, -5.0, -9.0, -5.0, 4.0]","[6.0, 5.0, 6.0, 6.0, 6.0, 5.0, -2.0, 7.0, 5.0, 6.0, 9.0]",2019-10-01,11,"[2.0, 5.0, 4.0, 3.0, 3.0, 5.0, 21.0, 16.0, 7.0, 2.0, 6.0]"
70110362,"[-6.0, 4.0, -5.0, 13.0, -13.0, 40.0, 14.0, -47.0, -7.0, 1.0]","[0.0, 1.0, 0.0, 2.0, 8.0, 11.0, -8.0, -8.0, -3.0, -2.0, 6.0]",2019-09-01,11,"[9.0, 3.0, 7.0, 2.0, 15.0, 2.0, 42.0, 56.0, 9.0, 2.0, 3.0]"
70110367,"[-7.0, 1.0, 1.0, 2.0, -3.0]","[1.0, 1.0, 1.0, 1.0, 2.0, 1.0]",2019-09-01,6,"[10.0, 3.0, 4.0, 5.0, 7.0, 4.0]"
70110371,"[-32.0, 0.0, 12.0, -12.0, 1.0, 0.0, 0.0, -1.0, 0.0, 1.0, -1.0]","[1.0, 1.0, 2.0, 1.0, 1.0, 2.0, -1.0, 3.0, 3.0, 3.0, 3.0, 1.0]",2019-09-01,12,"[34.0, 2.0, 2.0, 14.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 2.0]"
70110373,[2.0],"[1.0, 2.0]",2019-10-01,2,"[1.0, 3.0]"
70110375,"[1.0, 0.0, -1.0, 0.0, 0.0, 1.0, 1.0, -1.0, 0.0, 1.0, 1.0]","[1.0, 2.0, 2.0, 1.0, 3.0, 2.0, -1.0, 6.0, 3.0, 3.0, 6.0, 5.0]",2019-09-01,12,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 1.0, 2.0, 3.0]"
70110377,"[22.0, -15.0, 6.0, -4.0, -9.0]","[7.0, 4.0, 2.0, -2.0, 1.0, 2.0]",2019-09-01,6,"[24.0, 46.0, 31.0, 37.0, 33.0, 24.0]"
70110378,"[-16.0, 31.0, -17.0, -3.0, -6.0, -2.0, 18.0, 2.0, -18.0, -7.0, -2.0]","[4.0, 2.0, 1.0, 2.0, 5.0, 2.0, 1.0, 5.0, 6.0, 2.0, 2.0, 0.0]",2019-09-01,12,"[21.0, 5.0, 36.0, 19.0, 16.0, 10.0, 8.0, 26.0, 28.0, 10.0, 3.0, 1.0]"
70110383,"[-1.0, -2.0, 1.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0]","[10.0, 3.0, 9.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 3.0, 3.0, 6.0]",2019-09-01,12,"[4.0, 3.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0]"
70110388,"[0.0, -2.0, 0.0, 1.0, 0.0, -1.0, 1.0, -1.0, 0.0, 0.0, 0.0]","[4.0, 5.0, 3.0, 3.0, 3.0, 5.0, 4.0, 2.0, 3.0, 3.0, 3.0, 3.0]",2019-09-01,12,"[2.0, 2.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
70110427,"[-5.0, 3.0, -9.0, 3.0, -1.0, -3.0, -2.0, 3.0, -4.0, 1.0]","[3.0, 4.0, 4.0, 3.0, -1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 3.0]",2019-09-01,11,"[17.0, 12.0, 15.0, 6.0, 9.0, 8.0, 5.0, 3.0, 6.0, 2.0, 3.0]"
70110467,"[-4.0, 13.0, 22.0, -24.0, -8.0, -10.0, -4.0, -2.0, 6.0, -2.0]","[7.0, 5.0, 6.0, 13.0, 7.0, 9.0, 4.0, 1.0, 3.0, -1.0, -3.0]",2019-09-01,11,"[18.0, 14.0, 27.0, 49.0, 25.0, 17.0, 7.0, 3.0, 1.0, 7.0, 5.0]"
70110479,"[40.0, -85.0]","[6.0, 25.0, 2.0]",2019-09-01,3,"[45.0, 85.0, 0.0]"
70110480,"[0.0, 1.0, -1.0, 1.0, -1.0, 1.0, 3.0, -2.0, -2.0, 0.0, 0.0]","[2.0, 3.0, 2.0, 2.0, 2.0, 1.0, 0.0, 6.0, 6.0, 5.0, 3.0, 2.0]",2019-09-01,12,"[1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 5.0, 3.0, 1.0, 1.0, 1.0]"
70110487,"[2.0, -4.0, -1.0, 2.0, -3.0, 3.0, -3.0, 0.0, 0.0]","[7.0, 9.0, 0.0, 3.0, -2.0, -1.0, 6.0, 1.0, 3.0, 3.0]",2019-09-01,10,"[5.0, 7.0, 3.0, 2.0, 4.0, 1.0, 4.0, 1.0, 1.0, 1.0]"
70110488,"[-14.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, -1.0, -1.0, 1.0, -2.0]","[3.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 3.0, 2.0, 1.0]",2019-09-01,12,"[14.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 2.0, 1.0, 2.0, 0.0]"
70110505,"[2.0, -3.0, 0.0, 0.0, 1.0, 3.0, -1.0, 0.0, 0.0, -2.0, 2.0]","[3.0, 6.0, 3.0, 1.0, 2.0, 2.0, 7.0, 7.0, 6.0, 6.0, 3.0, 4.0]",2019-09-01,12,"[1.0, 3.0, 0.0, 0.0, 0.0, 1.0, 4.0, 3.0, 3.0, 3.0, 1.0, 3.0]"
70110523,"[0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, 1.0, 0.0, 0.0, -1.0]","[1.0, 1.0, 2.0, 1.0, 2.0, 5.0, -1.0, -1.0, -2.0, 0.0, -2.0, 2.0]",2019-10-01,12,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 2.0, 2.0, 2.0, 1.0]"
70110527,"[3.0, -17.0, 9.0, -3.0, 14.0, -1.0, -8.0, -2.0, 8.0, -9.0, 2.0, -2.0]","[1.0, 5.0, 3.0, 4.0, 2.0, -1.0, -2.0, 4.0, 0.0, 2.0, 2.0, 1.0, 0.0]",2019-11-01,13,"[15.0, 18.0, 1.0, 10.0, 7.0, 21.0, 20.0, 12.0, 10.0, 18.0, 9.0, 11.0, 9.0]"
70110528,"[2.0, -2.0, 0.0, -1.0, 1.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0]","[2.0, 2.0, 2.0, 3.0, 3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2019-10-01,12,"[2.0, 4.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
70110529,[-39.0],"[4.0, 10.0]",2019-10-01,2,"[40.0, 1.0]"
70110530,[-104.0],"[2.0, 3.0]",2019-10-01,2,"[105.0, 1.0]"
70110534,"[-1.0, -1.0, 7.0, -2.0, 5.0, 20.0, -22.0, -4.0, 5.0, -5.0, 8.0, -5.0]","[6.0, 3.0, 3.0, 8.0, 9.0, 8.0, 9.0, 6.0, 10.0, 4.0, 5.0, 7.0, 5.0]",2019-10-01,13,"[3.0, 2.0, 1.0, 8.0, 6.0, 11.0, 31.0, 9.0, 5.0, 10.0, 5.0, 13.0, 8.0]"
70110542,"[-3.0, -5.0]","[4.0, 3.0, 2.0]",2019-10-01,3,"[11.0, 8.0, 3.0]"
70110544,"[1.0, 0.0, 1.0, 6.0, 3.0, 13.0, -18.0, 5.0, -8.0, -1.0, -1.0]","[3.0, 3.0, 2.0, 3.0, 8.0, 6.0, 4.0, 4.0, 4.0, 3.0, 4.0, 3.0]",2019-11-01,12,"[0.0, 1.0, 1.0, 2.0, 8.0, 11.0, 24.0, 6.0, 11.0, 3.0, 2.0, 1.0]"
70110545,"[-5.0, 5.0, 34.0, 32.0, -51.0, -7.0, -9.0, 67.0, -58.0, -9.0]","[5.0, 0.0, 5.0, 3.0, 0.0, 6.0, 7.0, 5.0, 0.0, 7.0, 9.0]",2019-10-01,11,"[10.0, 5.0, 10.0, 44.0, 76.0, 25.0, 18.0, 9.0, 76.0, 18.0, 9.0]"
70110560,"[-55.0, 1.0, 0.0, -1.0, 1.0, 0.0, 0.0, 0.0, 0.0, -1.0, 1.0, 0.0]","[0.0, 1.0, 10.0, 6.0, 3.0, 10.0, 10.0, 10.0, 10.0, 6.0, 3.0, 10.0, 10.0]",2019-10-01,13,"[55.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]"
