userid,std dev diff,expectations,first_forecast_date,total_predictions,std_dev_sequence
70000238,"[1.0, -1.0, 0.0]","[3.0, 10.0, 3.0, 3.0]",2013-06-01,4,"[0.0, 1.0, 0.0, 0.0]"
70000239,"[-8.0, 9.0, -3.0]","[8.0, 9.0, 14.0, 8.0]",2013-06-01,4,"[9.0, 1.0, 10.0, 7.0]"
70000294,"[55.0, -56.0]","[6.0, 25.0, 3.0]",2013-06-01,3,"[1.0, 56.0, 0.0]"
70000312,"[7.0, -2.0, 0.0]","[3.0, 5.0, 4.0, 4.0]",2013-06-01,4,"[1.0, 8.0, 6.0, 6.0]"
70000327,"[2.0, 6.0, -3.0]","[4.0, 5.0, 5.0, 4.0]",2013-06-01,4,"[15.0, 17.0, 23.0, 20.0]"
70000337,"[-16.0, 2.0, -2.0, 1.0, 7.0]","[6.0, 1.0, 1.0, 2.0, 2.0, 5.0]",2013-06-01,6,"[17.0, 1.0, 3.0, 1.0, 2.0, 9.0]"
70000339,"[0.0, -2.0, 3.0]","[5.0, 5.0, 4.0, 5.0]",2013-06-01,4,"[4.0, 4.0, 2.0, 5.0]"
70000341,"[1.0, 1.0, 6.0, -2.0]","[3.0, 4.0, 9.0, 7.0, 10.0]",2013-06-01,5,"[0.0, 1.0, 2.0, 8.0, 6.0]"
70003183,[-3.0],"[-1.0, 1.0]",2013-06-01,2,"[69.0, 66.0]"
70003202,"[-6.0, 3.0, 12.0, 0.0]","[1.0, 2.0, 2.0, 2.0, 1.0]",2013-06-01,5,"[8.0, 2.0, 5.0, 17.0, 17.0]"
70003205,"[0.0, 0.0, 14.0]","[4.0, 4.0, 4.0, 8.0]",2013-06-01,4,"[1.0, 1.0, 1.0, 15.0]"
70003208,"[0.0, 0.0, 0.0]","[1.0, 1.0, 3.0, 3.0]",2013-06-01,4,"[0.0, 0.0, 0.0, 0.0]"
70003238,"[0.0, 0.0, 0.0, 0.0]","[3.0, 3.0, 3.0, 3.0, 3.0]",2013-06-01,5,"[0.0, 0.0, 0.0, 0.0, 0.0]"
70003252,"[0.0, -2.0]","[3.0, 3.0, 4.0]",2013-06-01,3,"[2.0, 2.0, 0.0]"
70003260,"[0.0, 0.0, 0.0, 0.0]","[3.0, 1.0, 1.0, 1.0, 1.0]",2013-06-01,5,"[0.0, 0.0, 0.0, 0.0, 0.0]"
70003265,"[-1.0, 0.0, 1.0, 0.0]","[5.0, 3.0, 3.0, 3.0, 3.0]",2013-06-01,5,"[1.0, 0.0, 0.0, 1.0, 1.0]"
70003271,"[-6.0, 13.0, 5.0, -9.0]","[3.0, 4.0, 5.0, 8.0, 9.0]",2013-06-01,5,"[10.0, 4.0, 17.0, 22.0, 13.0]"
70006274,[4.0],"[0.0, 2.0]",2013-06-01,2,"[2.0, 6.0]"
70006288,"[-3.0, 0.0]","[6.0, 4.0, 4.0]",2013-06-01,3,"[4.0, 1.0, 1.0]"
70006290,"[2.0, -3.0, 3.0, -1.0, -3.0]","[5.0, 4.0, 3.0, 4.0, 4.0, 4.0]",2013-06-01,6,"[5.0, 7.0, 4.0, 7.0, 6.0, 3.0]"
70006293,[1.0],"[3.0, 2.0]",2013-06-01,2,"[0.0, 1.0]"
70006299,"[55.0, 0.0, 0.0, 0.0]","[10.0, 25.0, 25.0, 25.0, 25.0]",2013-06-01,5,"[1.0, 56.0, 56.0, 56.0, 56.0]"
70006323,[-2.0],"[4.0, 3.0]",2013-06-01,2,"[3.0, 1.0]"
70006338,[0.0],"[2.0, 2.0]",2013-06-01,2,"[2.0, 2.0]"
70006365,"[0.0, 3.0]","[4.0, 3.0, 2.0]",2013-06-01,3,"[0.0, 0.0, 3.0]"
70006368,"[0.0, 0.0]","[3.0, 2.0, 1.0]",2013-06-01,3,"[2.0, 2.0, 2.0]"
70006399,"[1.0, 0.0]","[3.0, 2.0, 6.0]",2013-06-01,3,"[1.0, 2.0, 2.0]"
70009205,"[-1.0, -2.0]","[2.0, 3.0, 2.0]",2013-06-01,3,"[3.0, 2.0, 0.0]"
70009218,[1.0],"[3.0, 3.0]",2013-07-01,2,"[1.0, 2.0]"
70009224,"[-12.0, 3.0]","[5.0, 3.0, 6.0]",2013-06-01,3,"[13.0, 1.0, 4.0]"
70009243,"[4.0, -3.0]","[3.0, 5.0, 3.0]",2013-06-01,3,"[1.0, 5.0, 2.0]"
70009290,"[0.0, 0.0, 0.0, 0.0, 0.0]","[25.0, 25.0, 25.0, 25.0, 25.0, 25.0]",2013-06-01,6,"[56.0, 56.0, 56.0, 56.0, 56.0, 56.0]"
70009324,[1.0],"[3.0, 3.0]",2013-06-01,2,"[1.0, 2.0]"
70009328,"[1.0, -1.0]","[2.0, 3.0, 2.0]",2013-06-01,3,"[0.0, 1.0, 0.0]"
70009362,[0.0],"[6.0, 6.0]",2013-06-01,2,"[1.0, 1.0]"
70009381,"[-5.0, 0.0]","[2.0, 1.0, 1.0]",2013-06-01,3,"[6.0, 1.0, 1.0]"
70009391,"[0.0, 1.0]","[2.0, 3.0, 3.0]",2013-06-01,3,"[2.0, 2.0, 3.0]"
70009469,"[1.0, 55.0]","[3.0, 10.0, 25.0]",2013-06-01,3,"[0.0, 1.0, 56.0]"
70009495,"[-23.0, 13.0]","[6.0, 3.0, 6.0]",2013-06-01,3,"[25.0, 2.0, 15.0]"
70009498,"[-2.0, 2.0, -2.0, 0.0]","[2.0, 1.0, 2.0, 2.0, 1.0]",2013-06-01,5,"[3.0, 1.0, 3.0, 1.0, 1.0]"
70009531,[0.0],"[4.0, 5.0]",2013-06-01,2,"[2.0, 2.0]"
70009536,"[0.0, 1.0]","[4.0, 3.0, 4.0]",2013-06-01,3,"[1.0, 1.0, 2.0]"
70009596,"[37.0, -58.0]","[5.0, 4.0, 1.0]",2013-06-01,3,"[42.0, 79.0, 21.0]"
70009694,"[-7.0, -2.0]","[6.0, 5.0, 3.0]",2013-06-01,3,"[10.0, 3.0, 1.0]"
70009792,"[-3.0, -4.0, 8.0, -7.0]","[7.0, 2.0, 3.0, 3.0, 4.0]",2013-06-01,5,"[8.0, 5.0, 1.0, 9.0, 2.0]"
70009801,"[-4.0, 0.0, 0.0, -1.0]","[4.0, 1.0, -1.0, 3.0, 1.0]",2013-06-01,5,"[5.0, 1.0, 1.0, 1.0, 0.0]"
70009836,"[-3.0, 0.0, 0.0, 1.0, 0.0]","[3.0, 3.0, 3.0, 3.0, 4.0, 4.0]",2013-06-01,6,"[4.0, 1.0, 1.0, 1.0, 2.0, 2.0]"
70009858,"[-1.0, -1.0, 3.0, -3.0]","[3.0, 3.0, 5.0, 4.0, 2.0]",2013-06-01,5,"[4.0, 3.0, 2.0, 5.0, 2.0]"
70009866,"[1.0, -1.0, 1.0, -1.0, 0.0]","[-1.0, 0.0, 0.0, 1.0, -1.0, -1.0]",2013-06-01,6,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
70009874,"[4.0, -4.0, -1.0, 1.0]","[2.0, 2.0, 2.0, 2.0, 1.0]",2013-06-01,5,"[2.0, 6.0, 2.0, 1.0, 2.0]"
70009905,[2.0],"[5.0, 6.0]",2013-06-01,2,"[3.0, 5.0]"
70009913,"[55.0, -55.0, 55.0]","[6.0, 25.0, 6.0, 25.0]",2013-06-01,4,"[1.0, 56.0, 1.0, 56.0]"
70009925,"[3.0, -2.0, 2.0, -1.0, 9.0]","[4.0, 3.0, 3.0, 3.0, 3.0, 4.0]",2013-06-01,6,"[2.0, 5.0, 3.0, 5.0, 4.0, 13.0]"
70009926,"[1.0, 12.0, -12.0, -1.0, 1.0]","[3.0, 2.0, 4.0, 2.0, 1.0, -2.0]",2013-06-01,6,"[1.0, 2.0, 14.0, 2.0, 1.0, 2.0]"
70009966,"[1.0, -2.0, 1.0, 2.0, 7.0]","[6.0, 6.0, 6.0, 6.0, 10.0, 9.0]",2013-06-01,6,"[3.0, 4.0, 2.0, 3.0, 5.0, 12.0]"
70009992,"[0.0, 0.0, 0.0, 0.0, 0.0]","[3.0, 3.0, 3.0, 3.0, 3.0, 2.0]",2013-06-01,6,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
70010047,"[1.0, -1.0, 1.0, 0.0, 0.0]","[3.0, 2.0, 3.0, 2.0, 2.0, 2.0]",2013-06-01,6,"[0.0, 1.0, 0.0, 1.0, 1.0, 1.0]"
70010053,[1.0],"[1.0, 6.0]",2013-07-01,2,"[0.0, 1.0]"
70010090,[-1.0],"[5.0, 2.0]",2013-06-01,2,"[2.0, 1.0]"
70010098,"[-17.0, 1.0]","[5.0, 1.0, 1.0]",2013-06-01,3,"[20.0, 3.0, 4.0]"
70010113,[0.0],"[1.0, 3.0]",2013-06-01,2,"[0.0, 0.0]"
70010139,"[11.0, -4.0, -7.0, 0.0, 0.0]","[3.0, 5.0, 6.0, 3.0, 3.0, 3.0]",2013-06-01,6,"[2.0, 13.0, 9.0, 2.0, 2.0, 2.0]"
70010173,"[0.0, 0.0, 1.0, -1.0, 2.0]","[4.0, 4.0, 3.0, 4.0, 3.0, 4.0]",2013-06-01,6,"[1.0, 1.0, 1.0, 2.0, 1.0, 3.0]"
70010210,"[55.0, -55.0, 0.0, -1.0, 1.0]","[6.0, 25.0, 6.0, 6.0, 3.0, 6.0]",2013-06-01,6,"[1.0, 56.0, 1.0, 1.0, 0.0, 1.0]"
70010224,"[0.0, 12.0]","[10.0, 10.0, 10.0]",2013-06-01,3,"[1.0, 1.0, 13.0]"
70010252,"[0.0, 0.0, -1.0, 4.0]","[3.0, 3.0, 3.0, 3.0, 4.0]",2013-06-01,5,"[1.0, 1.0, 1.0, 0.0, 4.0]"
70010256,"[-7.0, -3.0, 4.0, -8.0, 33.0]","[6.0, 5.0, 7.0, 8.0, 6.0, 8.0]",2013-06-01,6,"[26.0, 19.0, 16.0, 20.0, 12.0, 45.0]"
70010326,"[0.0, 1.0, -1.0, 1.0]","[-3.0, -1.0, -6.0, -3.0, -6.0]",2013-07-01,5,"[0.0, 0.0, 1.0, 0.0, 1.0]"
70010376,"[6.0, -6.0, 3.0, 0.0, -2.0]","[2.0, 4.0, 2.0, 3.0, 3.0, 3.0]",2013-06-01,6,"[3.0, 9.0, 3.0, 6.0, 6.0, 4.0]"
70010419,"[0.0, 0.0, 4.0, -3.0, 1.0]","[3.0, 3.0, 3.0, 4.0, 3.0, 3.0]",2013-06-01,6,"[1.0, 1.0, 1.0, 5.0, 2.0, 3.0]"
70010457,[1.0],"[5.0, 4.0]",2013-06-01,2,"[3.0, 4.0]"
70010726,"[2.0, 2.0, -2.0]","[-3.0, -2.0, -2.0, -1.0]",2013-06-01,4,"[2.0, 4.0, 6.0, 4.0]"
70010739,"[3.0, -3.0]","[3.0, 5.0, 4.0]",2013-06-01,3,"[1.0, 4.0, 1.0]"
70010744,"[-1.0, 3.0, -4.0]","[6.0, 5.0, 9.0, 3.0]",2013-06-01,4,"[3.0, 2.0, 5.0, 1.0]"
70010747,[-7.0],"[4.0, 5.0]",2013-06-01,2,"[19.0, 12.0]"
70010752,"[-7.0, -28.0, -1.0]","[7.0, 1.0, 9.0, 3.0]",2013-06-01,4,"[36.0, 29.0, 1.0, 0.0]"
70010776,[0.0],"[3.0, 3.0]",2013-06-01,2,"[0.0, 0.0]"
70010813,"[0.0, 0.0]","[-5.0, 6.0, 6.0]",2013-07-01,3,"[1.0, 1.0, 1.0]"
70010844,[0.0],"[10.0, 10.0]",2013-06-01,2,"[1.0, 1.0]"
70010845,"[-44.0, 46.0, -97.0, 40.0]","[-6.0, -2.0, 0.0, 4.0, 5.0]",2013-06-01,5,"[97.0, 53.0, 99.0, 2.0, 42.0]"
70010871,[-1.0],"[3.0, 3.0]",2013-06-01,2,"[1.0, 0.0]"
70010874,[1.0],"[1.0, 1.0]",2013-06-01,2,"[0.0, 1.0]"
70010891,"[9.0, 2.0]","[3.0, 4.0, 5.0]",2013-06-01,3,"[4.0, 13.0, 15.0]"
70010902,"[0.0, 0.0, 0.0, 0.0]","[2.0, 2.0, 2.0, 2.0, 2.0]",2013-06-01,5,"[1.0, 1.0, 1.0, 1.0, 1.0]"
70010913,"[1.0, 2.0, -2.0, 1.0, 0.0]","[2.0, 2.0, 2.0, 1.0, 2.0, 1.0]",2013-06-01,6,"[0.0, 1.0, 3.0, 1.0, 2.0, 2.0]"
70010926,[-5.0],"[3.0, 4.0]",2013-06-01,2,"[17.0, 12.0]"
70010955,[0.0],"[0.0, 0.0]",2013-07-01,2,"[29.0, 29.0]"
70011011,"[0.0, 0.0, 0.0, -1.0]","[1.0, 3.0, 1.0, 3.0, 1.0]",2013-06-01,5,"[1.0, 1.0, 1.0, 1.0, 0.0]"
70011016,[-1.0],"[2.0, 0.0]",2013-06-01,2,"[2.0, 1.0]"
70011068,"[-6.0, 0.0, 0.0]","[4.0, 2.0, 2.0, 0.0]",2013-06-01,4,"[7.0, 1.0, 1.0, 1.0]"
70011069,"[-8.0, -5.0, -3.0]","[8.0, 5.0, 4.0, 6.0]",2013-06-01,4,"[22.0, 14.0, 9.0, 6.0]"
70011074,"[3.0, -3.0, -2.0, -1.0]","[3.0, 4.0, 3.0, 3.0, 3.0]",2013-06-01,5,"[5.0, 8.0, 5.0, 3.0, 2.0]"
70011091,"[-3.0, 3.0, 5.0, -6.0]","[4.0, 4.0, 4.0, 3.0, 4.0]",2013-06-01,5,"[5.0, 2.0, 5.0, 10.0, 4.0]"
70011099,"[10.0, -8.0, 1.0]","[6.0, 8.0, 10.0, 9.0]",2013-06-01,4,"[5.0, 15.0, 7.0, 8.0]"
70011161,"[-73.0, 73.0, 0.0]","[0.0, 10.0, 0.0, 0.0]",2013-07-01,4,"[76.0, 3.0, 76.0, 76.0]"
70011180,"[-3.0, 0.0, 1.0, 91.0, -80.0]","[10.0, 9.0, 11.0, 6.0, 22.0, 17.0]",2013-06-01,6,"[4.0, 1.0, 1.0, 2.0, 93.0, 13.0]"
70011191,"[0.0, 0.0, 0.0, 1.0, -1.0]","[2.0, 1.0, 1.0, 2.0, 2.0, 3.0]",2013-06-01,6,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
70011226,"[0.0, 0.0, 1.0, 0.0]","[2.0, 1.0, 3.0, 2.0, 3.0]",2013-06-01,5,"[1.0, 1.0, 1.0, 2.0, 2.0]"
70011244,"[0.0, 0.0, 0.0]","[3.0, 3.0, 3.0, 3.0]",2013-07-01,4,"[0.0, 0.0, 0.0, 0.0]"
70011246,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2013-06-01,6,"[76.0, 76.0, 76.0, 76.0, 76.0, 76.0]"
70011313,"[28.0, -30.0, -2.0, 2.0]","[8.0, 17.0, 12.0, 14.0, 12.0]",2013-06-01,5,"[11.0, 39.0, 9.0, 7.0, 9.0]"
70011352,[14.0],"[0.0, 6.0]",2013-06-01,2,"[18.0, 32.0]"
70012273,"[-2.0, 2.0]","[3.0, 3.0, 3.0]",2013-06-01,3,"[4.0, 2.0, 4.0]"
70012279,[-1.0],"[1.0, 3.0]",2013-06-01,2,"[2.0, 1.0]"
70012285,"[0.0, 0.0]","[2.0, 2.0, 1.0]",2013-06-01,3,"[2.0, 2.0, 2.0]"
70012305,"[0.0, 1.0]","[1.0, 1.0, 1.0]",2013-07-01,3,"[0.0, 0.0, 1.0]"
70012334,[-9.0],"[2.0, 1.0]",2013-06-01,2,"[14.0, 5.0]"
70012338,"[-10.0, 13.0]","[9.0, 9.0, 12.0]",2013-06-01,3,"[35.0, 25.0, 38.0]"
70012341,[0.0],"[6.0, 6.0]",2013-06-01,2,"[1.0, 1.0]"
70012349,"[0.0, 1.0]","[3.0, 3.0, 7.0]",2013-06-01,3,"[0.0, 0.0, 1.0]"
70012396,"[0.0, 0.0]","[1.0, 3.0, 3.0]",2013-06-01,3,"[0.0, 0.0, 0.0]"
70012429,"[1.0, -1.0]","[3.0, 2.0, 1.0]",2013-06-01,3,"[0.0, 1.0, 0.0]"
70012431,[-1.0],"[3.0, 1.0]",2013-06-01,2,"[2.0, 1.0]"
70012448,[-6.0],"[8.0, 2.0]",2013-06-01,2,"[7.0, 1.0]"
70012468,"[0.0, 0.0]","[10.0, 10.0, 6.0]",2013-06-01,3,"[1.0, 1.0, 1.0]"
70012480,"[0.0, 1.0]","[-1.0, -1.0, -1.0]",2013-06-01,3,"[1.0, 1.0, 2.0]"
70012484,[0.0],"[7.0, 6.0]",2013-06-01,2,"[1.0, 1.0]"
70012489,"[0.0, 0.0]","[2.0, 2.0, 2.0]",2013-06-01,3,"[1.0, 1.0, 1.0]"
70012503,"[0.0, 0.0]","[2.0, 2.0, 2.0]",2013-06-01,3,"[1.0, 1.0, 1.0]"
70012556,"[0.0, 0.0]","[1.0, 1.0, 1.0]",2013-06-01,3,"[0.0, 0.0, 0.0]"
70012564,"[-52.0, 53.0]","[4.0, 10.0, 24.0]",2013-06-01,3,"[89.0, 37.0, 90.0]"
70012580,"[0.0, 0.0]","[6.0, 10.0, 10.0]",2013-06-01,3,"[1.0, 1.0, 1.0]"
70012590,"[0.0, 1.0, -1.0, 0.0, 0.0]","[1.0, 1.0, 2.0, 1.0, -1.0, 1.0]",2013-06-01,6,"[1.0, 1.0, 2.0, 1.0, 1.0, 1.0]"
70012593,"[-5.0, 1.0]","[5.0, 3.0, 8.0]",2013-06-01,3,"[11.0, 6.0, 7.0]"
70012662,[0.0],"[5.0, 4.0]",2013-06-01,2,"[3.0, 3.0]"
70012682,"[1.0, -1.0, 0.0, 0.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2013-06-01,6,"[1.0, 2.0, 1.0, 1.0, 1.0, 0.0]"
70012715,"[0.0, -51.0, -4.0, 0.0]","[25.0, 25.0, 4.0, 4.0, 4.0]",2013-06-01,5,"[56.0, 56.0, 5.0, 1.0, 1.0]"
70012727,"[-1.0, -1.0, 3.0, -1.0, 1.0]","[3.0, 3.0, 1.0, 2.0, 3.0, 2.0]",2013-06-01,6,"[3.0, 2.0, 1.0, 4.0, 3.0, 4.0]"
70012757,"[0.0, 56.0, -55.0, 0.0, 0.0]","[1.0, -3.0, -25.0, 6.0, 10.0, 6.0]",2013-06-01,6,"[0.0, 0.0, 56.0, 1.0, 1.0, 1.0]"
70012795,"[3.0, 1.0, 9.0, -2.0, -6.0]","[3.0, 3.0, 4.0, 5.0, 4.0, 3.0]",2013-06-01,6,"[1.0, 4.0, 5.0, 14.0, 12.0, 6.0]"
70012809,"[2.0, -2.0, -1.0, 2.0, -1.0]","[1.0, 4.0, -1.0, -1.0, -1.0, -1.0]",2013-06-01,6,"[2.0, 4.0, 2.0, 1.0, 3.0, 2.0]"
70012810,"[-1.0, 1.0, -2.0, 2.0, -4.0]","[4.0, 5.0, 3.0, 4.0, 4.0, 3.0]",2013-06-01,6,"[7.0, 6.0, 7.0, 5.0, 7.0, 3.0]"
70012815,"[0.0, 0.0, 0.0, 0.0, 0.0]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",2013-06-01,6,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
70012856,"[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 3.0, 1.0, 1.0]",2013-06-01,5,"[0.0, 0.0, 0.0, 0.0, 0.0]"
70012866,"[-1.0, 0.0, 1.0, 0.0, 0.0]","[2.0, 3.0, 3.0, 2.0, 2.0, 2.0]",2013-06-01,6,"[2.0, 1.0, 1.0, 2.0, 2.0, 2.0]"
70012907,[-1.0],"[3.0, 3.0]",2013-06-01,2,"[1.0, 0.0]"
70012930,"[1.0, -1.0, 1.0, -1.0, 2.0]","[4.0, 6.0, 8.0, 8.0, 7.0, 10.0]",2013-06-01,6,"[2.0, 3.0, 2.0, 3.0, 2.0, 4.0]"
70012940,"[8.0, -12.0, 11.0]","[0.0, 3.0, 0.0, 0.0]",2013-06-01,4,"[21.0, 29.0, 17.0, 28.0]"
70012979,"[12.0, 56.0, -49.0, 0.0]","[1.0, 4.0, 0.0, 5.0, 5.0]",2013-06-01,5,"[8.0, 20.0, 76.0, 27.0, 27.0]"
70012999,"[-2.0, 0.0, 11.0]","[5.0, 3.0, 3.0, 6.0]",2013-06-01,4,"[5.0, 3.0, 3.0, 14.0]"
70013004,"[13.0, -6.0, 1.0, -5.0, -13.0]","[10.0, 6.0, 5.0, 5.0, 4.0, 2.0]",2013-06-01,6,"[11.0, 24.0, 18.0, 19.0, 14.0, 1.0]"
70013008,"[-1.0, 0.0, 0.0, 0.0, 0.0]","[2.0, 3.0, 3.0, 3.0, 3.0, 3.0]",2013-06-01,6,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
70013019,[0.0],"[10.0, 10.0]",2013-06-01,2,"[1.0, 1.0]"
70013034,[1.0],"[0.0, 1.0]",2013-06-01,2,"[1.0, 2.0]"
70013064,"[-2.0, -4.0, 3.0, -3.0, 2.0]","[7.0, 9.0, 3.0, 5.0, 3.0, 3.0]",2013-06-01,6,"[8.0, 6.0, 2.0, 5.0, 2.0, 4.0]"
70013071,"[49.0, -51.0, 7.0, -9.0, 5.0]","[6.0, 25.0, 6.0, 8.0, 10.0, 7.0]",2013-06-01,6,"[7.0, 56.0, 5.0, 12.0, 3.0, 8.0]"
70013091,"[0.0, -1.0, 0.0, 0.0, 1.0]","[0.0, 1.0, 1.0, 0.0, -1.0, 1.0]",2013-06-01,6,"[1.0, 1.0, 0.0, 0.0, 0.0, 1.0]"
70013160,[0.0],"[3.0, 3.0]",2013-06-01,2,"[2.0, 2.0]"
70013240,[0.0],"[1.0, 1.0]",2013-06-01,2,"[0.0, 0.0]"
70013273,"[-55.0, 1.0, 54.0, 0.0, 0.0]","[25.0, 11.0, 11.0, 25.0, 25.0, 25.0]",2013-06-01,6,"[56.0, 1.0, 2.0, 56.0, 56.0, 56.0]"
70013300,"[-3.0, 2.0, -3.0, 26.0]","[4.0, 2.0, 2.0, 2.0, 4.0]",2013-06-01,5,"[5.0, 2.0, 4.0, 1.0, 27.0]"
70013320,[1.0],"[1.0, 3.0]",2013-06-01,2,"[0.0, 1.0]"
70013331,"[14.0, -3.0]","[0.0, 6.0, 6.0]",2013-07-01,3,"[1.0, 15.0, 12.0]"
70013342,"[0.0, 0.0, 0.0, 0.0]","[4.0, 1.0, 2.0, 2.0, 3.0]",2013-06-01,5,"[0.0, 0.0, 0.0, 0.0, 0.0]"
70013344,"[-1.0, 4.0, 0.0, 7.0, -7.0]","[-3.0, 3.0, 6.0, 4.0, 8.0, 5.0]",2013-06-01,6,"[2.0, 1.0, 5.0, 5.0, 12.0, 5.0]"
70013349,[-6.0],"[12.0, 8.0]",2013-06-01,2,"[27.0, 21.0]"
70013364,"[0.0, 1.0, 0.0]","[3.0, 3.0, 6.0, 6.0]",2013-06-01,4,"[0.0, 0.0, 1.0, 1.0]"
70013381,"[0.0, 0.0, 0.0, 0.0]","[6.0, 6.0, 6.0, 6.0, 7.0]",2013-06-01,5,"[1.0, 1.0, 1.0, 1.0, 1.0]"
70013407,"[0.0, 0.0, 0.0, 0.0]","[6.0, 6.0, 6.0, 6.0, 6.0]",2013-06-01,5,"[1.0, 1.0, 1.0, 1.0, 1.0]"
70013419,"[0.0, 0.0]","[2.0, 1.0, 1.0]",2013-07-01,3,"[1.0, 1.0, 1.0]"
70013433,"[0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",2013-06-01,5,"[0.0, 0.0, 0.0, 0.0, 0.0]"
70013447,"[-3.0, 8.0, 5.0, -16.0]","[0.0, -1.0, 0.0, -1.0, 0.0]",2013-06-01,5,"[30.0, 27.0, 35.0, 40.0, 24.0]"
70013504,[1.0],"[2.0, 1.0]",2013-06-01,2,"[0.0, 1.0]"
70013506,[-1.0],"[4.0, 4.0]",2013-06-01,2,"[5.0, 4.0]"
70013526,"[3.0, -3.0, -3.0, 0.0]","[2.0, 1.0, 2.0, 1.0, 2.0]",2013-06-01,5,"[5.0, 8.0, 5.0, 2.0, 2.0]"
70013547,"[75.0, -76.0, 1.0, 75.0]","[10.0, 0.0, 1.0, -10.0, 0.0]",2013-06-01,5,"[1.0, 76.0, 0.0, 1.0, 76.0]"
70013565,"[1.0, -1.0, -1.0, 0.0]","[4.0, 4.0, 4.0, 3.0, 4.0]",2013-06-01,5,"[2.0, 3.0, 2.0, 1.0, 1.0]"
70013581,"[-3.0, 2.0, -1.0, -1.0]","[5.0, 4.0, 3.0, 6.0, 3.0]",2013-06-01,5,"[4.0, 1.0, 3.0, 2.0, 1.0]"
70013640,"[16.0, -11.0, -5.0, 18.0, 24.0]","[2.0, 3.0, 4.0, 4.0, 8.0, 9.0]",2013-06-01,6,"[5.0, 21.0, 10.0, 5.0, 23.0, 47.0]"
70013641,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 3.0, 1.0, 1.0]",2013-06-01,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
70013654,"[0.0, 0.0, 0.0, 0.0, 0.0]","[3.0, -1.0, 1.0, 3.0, 3.0, 3.0]",2013-06-01,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
70013813,"[6.0, 9.0, -10.0, 5.0, -3.0]","[1.0, 3.0, 3.0, 4.0, 3.0, 3.0]",2013-06-01,6,"[10.0, 16.0, 25.0, 15.0, 20.0, 17.0]"
70013878,"[0.0, -1.0, 1.0]","[4.0, 2.0, 3.0, 6.0]",2013-06-01,4,"[1.0, 1.0, 0.0, 1.0]"
70013883,"[-2.0, 1.0, 0.0, 0.0, 0.0]","[3.0, 2.0, 2.0, 3.0, 3.0, 3.0]",2013-06-01,6,"[3.0, 1.0, 2.0, 2.0, 2.0, 2.0]"
70013936,"[-55.0, 55.0, -55.0]","[25.0, 6.0, 25.0, 6.0]",2013-06-01,4,"[56.0, 1.0, 56.0, 1.0]"
70013968,[0.0],"[0.0, 0.0]",2013-06-01,2,"[76.0, 76.0]"
70013983,[0.0],"[1.0, 1.0]",2013-06-01,2,"[2.0, 2.0]"
70014006,[6.0],"[4.0, 5.0]",2013-06-01,2,"[6.0, 12.0]"
70014102,"[-1.0, -1.0, 1.0]","[3.0, 2.0, 1.0, 3.0]",2013-06-01,4,"[2.0, 1.0, 0.0, 1.0]"
70014120,"[0.0, 1.0, 1.0, 2.0]","[3.0, 2.0, 3.0, 3.0, 3.0]",2013-06-01,5,"[2.0, 2.0, 3.0, 4.0, 6.0]"
70014151,[1.0],"[1.0, 1.0]",2013-06-01,2,"[0.0, 1.0]"
70014190,"[0.0, 1.0]","[3.0, 4.0, 5.0]",2013-07-01,3,"[3.0, 3.0, 4.0]"
70014204,"[13.0, -19.0, 2.0]","[3.0, 12.0, 5.0, 4.0]",2013-06-01,4,"[9.0, 22.0, 3.0, 5.0]"
70014206,"[2.0, -1.0, -2.0, 2.0]","[4.0, 4.0, 3.0, 3.0, 3.0]",2013-06-01,5,"[3.0, 5.0, 4.0, 2.0, 4.0]"
70014207,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",2013-06-01,5,"[76.0, 76.0, 76.0, 76.0, 76.0]"
70014331,"[-1.0, 0.0, 1.0, 0.0, -1.0]","[4.0, 3.0, 3.0, 3.0, 3.0, 3.0]",2013-06-01,6,"[2.0, 1.0, 1.0, 2.0, 2.0, 1.0]"
70014337,"[1.0, 2.0, 0.0, -1.0]","[3.0, 4.0, 6.0, 6.0, 5.0]",2013-06-01,5,"[1.0, 2.0, 4.0, 4.0, 3.0]"
70015087,[0.0],"[6.0, 6.0]",2013-06-01,2,"[2.0, 2.0]"
