observation_date,GDPC1_GDPPOT
1949-01-01,0.2093193043734
1949-04-01,-1.5275579802127
1949-07-01,-1.9303854083174
1949-10-01,-4.0446766375008
1950-01-01,-1.6169347848378
1950-04-01,0.0745676129277
1950-07-01,2.6463213817851
1950-10-01,3.2910963938978
1951-01-01,3.3839771318071
1951-04-01,3.8765002709228
1951-07-01,4.6505693459725
1951-10-01,3.4552394576700
1952-01-01,3.0856288317656
1952-04-01,1.7419303030745
1952-07-01,1.0048042499416
1952-10-01,2.9234584524770
1953-01-01,3.6113747795621
1953-04-01,3.3512191669627
1953-07-01,1.8914196149297
1953-10-01,-0.3797560704584
1954-01-01,-1.5196861382120
1954-04-01,-2.0133718311100
1954-07-01,-1.4874586548739
1954-10-01,-0.1749746196603
1955-01-01,2.0599463016625
1955-04-01,3.0495471527918
1955-07-01,3.7809103876992
1955-10-01,3.7232946968519
1956-01-01,2.6489931890707
1956-04-01,2.8464692328784
1956-07-01,2.0842282548875
1956-10-01,3.0499683630556
1957-01-01,2.9329950513547
1957-04-01,1.8751799174458
1957-07-01,1.9994055989069
1957-10-01,0.0576360853998
1958-01-01,-3.3836698718224
1958-04-01,-3.5977112709759
1958-07-01,-2.2269513853504
1958-10-01,-0.8560955500301
1959-01-01,0.0974904973751
1959-04-01,1.3387744936309
1959-07-01,0.3433537670199
1959-10-01,-0.4324591231685
1960-01-01,0.7266025598649
1960-04-01,-0.8392023718397
1960-07-01,-1.3452278100548
1960-10-01,-3.5366797321525
1961-01-01,-3.7838243507756
1961-04-01,-2.9961650325098
1961-07-01,-2.0114715409561
1961-10-01,-0.9945297658461
1962-01-01,-0.2031657608018
1962-04-01,-0.3459264357628
1962-07-01,-0.2203469676544
1962-10-01,-1.0013248333260
1963-01-01,-1.0187517281249
1963-04-01,-0.9846983190457
1963-07-01,0.1193170637778
1963-10-01,-0.2934358131982
1964-01-01,0.7335894971382
1964-04-01,0.7291264072692
1964-07-01,1.1853863213161
1964-10-01,0.3937601056279
1965-01-01,1.6894884132062
1965-04-01,1.8789393819719
1965-07-01,3.0170610777007
1965-10-01,4.2612734642891
1966-01-01,5.6570554531731
1966-04-01,4.8925227332141
1966-07-01,4.6519070445720
1966-10-01,4.3918935294464
1967-01-01,4.1726236112865
1967-04-01,3.0799648934545
1967-07-01,2.8855407622007
1967-10-01,2.4786388005113
1968-01-01,3.3854182687380
1968-04-01,3.9519057908026
1968-07-01,3.6020205682483
1968-10-01,2.8680073381290
1969-01-01,3.3801160156964
1969-04-01,2.6558399854282
1969-07-01,2.3578655464167
1969-10-01,0.9445869491295
1970-01-01,-0.0644491298471
1970-04-01,-0.7288652509149
1970-07-01,-0.5966440993868
1970-10-01,-2.4218668863428
1971-01-01,-0.5708095099489
1971-04-01,-0.8744729906226
1971-07-01,-0.9200783289645
1971-10-01,-1.5378367825576
1972-01-01,-0.5603771557078
1972-04-01,0.8986362909700
1972-07-01,1.0807993086598
1972-10-01,2.0028363227975
1973-01-01,3.7238462317424
1973-04-01,3.9921464793514
1973-07-01,2.5746816190645
1973-10-01,2.6560533446764
1974-01-01,0.8912351489083
1974-04-01,0.2586631849593
1974-07-01,-1.5244139417516
1974-10-01,-2.7158770047655
1975-01-01,-4.6709249274767
1975-04-01,-4.7443979366005
1975-07-01,-3.8651837765113
1975-10-01,-3.3201854837111
1976-01-01,-1.8918284962005
1976-04-01,-1.9155580150549
1976-07-01,-2.1312414166952
1976-10-01,-2.1798553264902
1977-01-01,-1.8020135166081
1977-04-01,-0.7050442370522
1977-07-01,0.2569186794737
1977-10-01,-0.5805733472396
1978-01-01,-1.1104330101278
1978-04-01,1.8320272398229
1978-07-01,1.9616032244732
1978-10-01,2.4225777652354
1979-01-01,1.6808753859905
1979-04-01,0.9024279577977
1979-07-01,0.8157858878337
1979-10-01,0.2981195826578
1980-01-01,-0.0761186243818
1980-04-01,-2.7217602121084
1980-07-01,-3.3395606352518
1980-10-01,-2.0660102217962
1981-01-01,-0.7067160911359
1981-04-01,-2.0738498042635
1981-07-01,-1.5695962112095
1981-10-01,-3.3309064326021
1982-01-01,-5.5274763631001
1982-04-01,-5.8025932944339
1982-07-01,-6.8702015423982
1982-10-01,-7.5458023580840
1983-01-01,-7.0379065253862
1983-04-01,-5.6572354414978
1983-07-01,-4.5320536896787
1983-10-01,-3.3375281551110
1984-01-01,-2.2806663664441
1984-04-01,-1.4585926757208
1984-07-01,-1.3905970248767
1984-10-01,-1.4718474609799
1985-01-01,-1.4078118460725
1985-04-01,-1.4276487708693
1985-07-01,-0.8081148946777
1985-10-01,-0.9429463393134
1986-01-01,-0.8760725408008
1986-04-01,-1.2712311641903
1986-07-01,-1.1600851508472
1986-10-01,-1.4500914141926
1987-01-01,-1.5269018951546
1987-04-01,-1.2636696642738
1987-07-01,-1.1960661270498
1987-10-01,-0.2928052489005
1988-01-01,-0.5585645792331
1988-04-01,-0.0362426919041
1988-07-01,-0.2288155333883
1988-10-01,0.3195316832461
1989-01-01,0.5623580431156
1989-04-01,0.5592054093876
1989-07-01,0.6344785859306
1989-10-01,0.0653260648294
1990-01-01,0.4079068850141
1990-04-01,0.0462469193431
1990-07-01,-0.5799040065860
1990-10-01,-2.1387569750258
1991-01-01,-3.2198242696471
1991-04-01,-3.0671097033268
1991-07-01,-3.1624264950446
1991-10-01,-3.4026549315180
1992-01-01,-2.8225426737950
1992-04-01,-2.3513878773985
1992-07-01,-1.9800602963333
1992-10-01,-1.5586281021830
1993-01-01,-1.9974932706145
1993-04-01,-2.0425290219649
